channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,Trigger,Shutdown
-66558.484375,-30886.400390625,-15468.79296875,-91011.6953125,-29870.423828125,-22538.3359375,-5242.244140625,-15883.015625,1.0,0.0
-66555.8046875,-30840.66796875,-15460.6123046875,-90891.3984375,-29836.359375,-22436.234375,-5229.68212890625,-15869.9169921875,1.0,0.0
-66547.4453125,-30615.498046875,-15437.634765625,-90621.6640625,-29658.396484375,-22088.396484375,-5140.6328125,-15682.9677734375,1.0,0.0
-66555.40625,-30656.4453125,-15442.8203125,-90740.3515625,-29690.671875,-22181.513671875,-5143.896484375,-15689.6279296875,1.0,0.0
-66551.9140625,-30856.001953125,-15457.52734375,-90976.3359375,-29849.4140625,-22496.806640625,-5214.52783203125,-15856.3720703125,1.0,0.0
-66560.453125,-30872.990234375,-15457.572265625,-90942.8984375,-29864.34375,-22489.029296875,-5219.35595703125,-15888.0224609375,1.0,0.0
-66557.859375,-30649.740234375,-15436.875,-90668.328125,-29690.939453125,-22137.435546875,-5138.97900390625,-15710.326171875,1.0,0.0
-66550.265625,-30623.54296875,-15434.1474609375,-90704.453125,-29674.35546875,-22135.78125,-5149.6630859375,-15685.42578125,1.0,0.0
-66552.140625,-30823.279296875,-15453.0576171875,-90954.4765625,-29830.50390625,-22448.794921875,-5210.37060546875,-15820.3857421875,1.0,0.0
-66550.53125,-30895.69921875,-15461.193359375,-90975.3515625,-29883.701171875,-22529.57421875,-5226.73193359375,-15886.099609375,1.0,0.0
-66554.640625,-30691.44921875,-15443.625,-90700.4296875,-29719.59375,-22194.208984375,-5134.0615234375,-15728.341796875,1.0,0.0
-66550.3515625,-30602.712890625,-15435.0419921875,-90657.2421875,-29652.271484375,-22092.552734375,-5109.1171875,-15646.265625,1.0,0.0
-66550.171875,-30783.58203125,-15449.16796875,-90909.5546875,-29800.060546875,-22392.826171875,-5193.91943359375,-15807.109375,1.0,0.0
